placed=438 dropped=22 bytes=893028 identical=726717 (81.38%) exact_objs=201
      0/     20 differing  build/recon/syslib/psx/libgpu/P19.c.o
      0/    320 differing  build/recon/syslib/psx/libmath/MULSF3.c.o
      0/     20 differing  build/recon/syslib/psx/libgpu/P12.c.o
      0/     20 differing  build/recon/syslib/psx/libgpu/P16.c.o
      0/     20 differing  build/recon/syslib/psx/libgpu/P18.c.o
      0/     20 differing  build/recon/syslib/psx/libgpu/P17.c.o
      0/    184 differing  build/recon/eaclib/psx/eacpsxz/fsincos.c.o
      0/    196 differing  build/recon/syslib/psx/libgte/COR_02.c.o
      0/    312 differing  build/recon/syslib/psx/libgte/COR_03.c.o
      0/    180 differing  build/recon/syslib/psx/libmath/FIXSFSI.c.o
      0/      8 differing  build/recon/eaclib/psx/eacpsxz/meminit.c.o
      0/     12 differing  build/recon/syslib/psx/libapi/C68.c.o
      0/    108 differing  build/recon/eaclib/psx/eacpsxz/shpdepth.c.o
      0/     24 differing  build/recon/syslib/psx/libgpu/P01.c.o
      0/   3356 differing  build/recon/eaclib/psx/eacpsxz/unhuff.c.o
      0/    348 differing  build/recon/syslib/psx/libmath/EXTSFDF2.c.o
      0/    304 differing  build/recon/syslib/psx/libmath/TRUDFSF2.c.o
      0/     12 differing  build/recon/syslib/psx/libc/C26.c.o
      0/      8 differing  build/recon/eaclib/psx/eacpsxz/nullfunc.c.o
      0/     40 differing  build/recon/syslib/psx/libgpu/P11.c.o
      0/     12 differing  build/recon/syslib/psx/libc/C30.c.o
      0/    180 differing  build/recon/syslib/psx/libmath/FLTSISF.c.o
      0/    324 differing  build/recon/syslib/psx/libmath/DIVSF3.c.o
      0/    220 differing  build/recon/eaclib/psx/eacpsxz/shpclut.c.o
      0/     12 differing  build/recon/syslib/psx/libapi/C57.c.o
      0/     12 differing  build/recon/syslib/psx/libc/C46.c.o
      0/    108 differing  build/recon/syslib/psx/libc/MEMMOVE.c.o
      0/    100 differing  build/recon/eaclib/psx/eacpsxz/callback.c.o
      0/    152 differing  build/recon/eaclib/psx/eacpsxz/math64a.c.o
      0/    116 differing  build/recon/eaclib/psx/eacpsxz/stricmp.c.o
      0/     32 differing  build/recon/eaclib/psx/sndpsxz/sdata.c.o
      0/    264 differing  build/recon/eaclib/psx/sndpsxz/sbirmpat.c.o
      0/    104 differing  build/recon/eaclib/psx/sndpsxz/sbvalid.c.o
      0/    284 differing  build/recon/eaclib/psx/sndpsxz/s3dpos.c.o
      0/    340 differing  build/recon/eaclib/psx/sndpsxz/sfxlevel.c.o
      0/    108 differing  build/recon/eaclib/psx/spchpsxz/spchdata.c.o
      0/    336 differing  build/recon/eaclib/psx/sndpsxz/sbdload.c.o
      0/     84 differing  build/recon/eaclib/psx/sndpsxz/sballoc.c.o
      0/    156 differing  build/recon/eaclib/psx/sndpsxz/sgetvol.c.o
      0/     12 differing  build/recon/syslib/psx/libc/C63.c.o
      0/    228 differing  build/recon/eaclib/psx/sndpsxz/smath64.c.o
      0/    136 differing  build/recon/eaclib/psx/sndpsxz/sstgetrp.c.o
      0/     12 differing  build/recon/syslib/psx/libc/C31.c.o
      0/     12 differing  build/recon/syslib/psx/libc/C38.c.o
      0/    388 differing  build/recon/eaclib/psx/sndpsxz/spat2hdr.c.o
      0/     76 differing  build/recon/syslib/psx/libc/MEMCMP.c.o
      0/    332 differing  build/recon/eaclib/psx/sndpsxz/ssysserv.c.o
      0/    188 differing  build/recon/syslib/psx/libmath/DBSHIFTU.c.o
      0/    100 differing  build/recon/eaclib/psx/sndpsxz/sdtimrem.c.o
      0/     12 differing  build/recon/syslib/psx/libapi/C73.c.o
      0/    324 differing  build/recon/eaclib/psx/eacpsxz/trnsmult.c.o
      0/    684 differing  build/recon/eaclib/psx/sndpsxz/smemman.c.o
      0/     12 differing  build/recon/syslib/psx/libapi/A91.c.o
      0/     12 differing  build/recon/syslib/psx/libapi/L10.c.o
      0/     24 differing  build/recon/syslib/psx/libgte/REG03.c.o
      0/     12 differing  build/recon/syslib/psx/libc/C19.c.o
      0/     12 differing  build/recon/syslib/psx/libapi/A25.c.o
      0/     12 differing  build/recon/syslib/psx/libapi/C114.c.o
      0/     16 differing  build/recon/syslib/psx/libapi/A37.c.o
      0/     12 differing  build/recon/syslib/psx/libapi/A23.c.o
      0/     16 differing  build/recon/syslib/psx/libapi/A36.c.o
      0/     12 differing  build/recon/syslib/psx/libapi/A24.c.o
      0/     24 differing  build/recon/eaclib/psx/eacpsxz/textcode.c.o
      0/    192 differing  build/recon/syslib/psx/libsn/READ.c.o
      0/     32 differing  build/recon/syslib/psx/libsn/OPEN.c.o
      0/     12 differing  build/recon/syslib/psx/libsn/FSINIT.c.o
      0/     32 differing  build/recon/syslib/psx/libsn/CREAT.c.o
      0/     44 differing  build/recon/eaclib/psx/eacpsxz/devsys.c.o
      0/     36 differing  build/recon/syslib/psx/libsn/LSEEK.c.o
      0/     16 differing  build/recon/syslib/psx/libsn/CLOSE.c.o
      0/    192 differing  build/recon/syslib/psx/libsn/WRITE.c.o
      0/     12 differing  build/recon/syslib/psx/libapi/A12.c.o
      0/     12 differing  build/recon/syslib/psx/libapi/A08.c.o
      0/     12 differing  build/recon/syslib/psx/libapi/A13.c.o
      0/    188 differing  build/recon/syslib/psx/libmath/DBSHIFT.c.o
      0/    112 differing  build/recon/syslib/psx/libmath/MAINASU.c.o
      0/    172 differing  build/recon/syslib/psx/libmath/ADDMANT.c.o
      0/     24 differing  build/recon/syslib/psx/libgpu/P09.c.o
      0/     60 differing  build/recon/syslib/psx/libgpu/P06.c.o
      0/    192 differing  build/recon/syslib/psx/libc/BSEARCH.c.o
      0/    100 differing  build/recon/eaclib/psx/sndpsxz/sdcdvol.c.o
      0/     12 differing  build/recon/syslib/psx/libcard/C171.c.o
      0/     52 differing  build/recon/syslib/psx/libcard/CARD.c.o
      0/     12 differing  build/recon/syslib/psx/libcard/C172.c.o
      0/     12 differing  build/recon/syslib/psx/libapi/A50.c.o
      0/     12 differing  build/recon/syslib/psx/libapi/A54.c.o
      0/     12 differing  build/recon/syslib/psx/libapi/A51.c.o
      0/     12 differing  build/recon/syslib/psx/libapi/A52.c.o
      0/     12 differing  build/recon/syslib/psx/libapi/A53.c.o
      0/     12 differing  build/recon/syslib/psx/libapi/A67.c.o
