class	region_va	base_va	name	rows	callers	strings
CHANGED	8007571C	80074E24	AudioClc_CalcTrackAzimuth__FP17DRender_tCalcViewP8Car_tObj	85		
CHANGED	8007593C	80075028	AudioClc_SoundCloseCar__Fii	61	AudioClc_SoundCars__Fv	
CHANGED	80075A30	80075508	AudioClc_SoundPlayersCar__Fi	318	AudioClc_SoundCars__Fv;AudioClc_SoundCars__Fv;AudioClc_SoundCars__Fv;AudioClc_SoundCars__Fv	
REGION-ONLY	80075F28		func_80075F28	465	AudioClc_SoundCars__Fv;AudioClc_SoundCars__Fv;AudioClc_SoundCars__Fv	
CHANGED	80076B90	80076160	AudioClc_SoundCars__Fv	180	Sim_ProcessSimSchedules__Fv	
CHANGED	80076E60	80076420	AudioCmn_MusicLevel__Fi	14	AudioCmn_Reset__Fv;MPause_MusicLogic__Fc;MPause_MusicLogic__Fc	
CHANGED	80077174	8007675C	AudioCmn_LoadAsyncSfx__FiiPvi	99	CopSpeak_ReadyNextRequest__Fv;CopSpeak_ReadyNextRequest__Fv;CopSpeak_ReadyNextRequest__Fv;CopSpeak_ReadyNextRequest__Fv	
CHANGED	800775EC	80076BEC	AudioCmn_Reset__Fv	196	Nfs2_ResetGame__Fv	
CHANGED	80078AF8	80078140	AudioCmn_PlayDoppleredSound__Fiiiiii	153	AudioCmn_PlaySound__Fiiiii;AudioCmn_PlaySFX__Fiiiiii;AudioCmn_PlaySFX__Fiiiiii	
CHANGED	80078D88	800783CC	AudioCmn_PlaySFX__Fiiiiii	343	AudioClc_SoundOpponentHorn__Fiiii;AudioCmn_SFX__Fi6s_typeT1iii;AudioCmn_SFX__Fi6s_typeT1iii;AudioCmn_SFX__Fi6s_typeT1iii	
CHANGED	800792E4	800788BC	AudioCmn_SoundCar__FP8Car_tObjiiiiiii	540		
CHANGED	80079B54	80079104	AudioCmn_TrafficSFX__Fiiiiiiii	177	AudioClc_SoundPlayersCar__Fi	
CHANGED	8007A6A0	80079C18	AudioCmn_UnPause__Fv	28	Sim_ProcessPause__Fv;Sim_MainGameLoop__Fv	
CHANGED	8007AC48	8007A1DC	AudioMus_Fail__Fi	39	AudioMus_Server__Fii;AudioMus_Server__Fii;AudioMus_Server__Fii	
CHANGED	8007ACE4	8007A258	AudioMus_QueueRequestedSong__Fv	40	AudioMus_Server__Fii;AudioMus_Server__Fii;AudioMus_PlaySong__FPc	
CHANGED	8007AE4C	8007A3D0	AudioMus_Server__Fii	242		
