function	class	group	repr_region	region_va	words	unit	candidate
Initialize__25tScreenPinkSlipsCarSelect	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8003F5E8	28	frontend/common/screencarselect	regiondiff/recon/NFS4-R-USA/frontend/common/screencarselect.cpp
InstanceGroup__5ChunkP15SerializedGroupP9SimpleMem	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8008BE88	354	game/common/chunk	regiondiff/recon/NFS4-R-USA/game/common/chunk.cpp
LoadDescription__15tMissionManagerb	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800341B4	77	frontend/common/femission	regiondiff/recon/NFS4-R-USA/frontend/common/femission.cpp
LoadGame__FsbT1	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80034F70	388	frontend/common/fememcard	regiondiff/recon/NFS4-R-USA/frontend/common/fememcard.cpp
Lose__Q26Speech13MobileSpeaker	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80098F24	209	game/common/speech	regiondiff/recon/NFS4-R-USA/game/common/speech.cpp
MPause_MusicLogic__Fc	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8009EEAC	192	game/common/mpause	regiondiff/recon/NFS4-R-USA/game/common/mpause.cpp
MemCardCmd_cb	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800FB7D8	28	syslib/psx/libmcrd/LIBMCRD	regiondiff/recon/NFS4-R-USA/syslib/psx/libmcrd/LIBMCRD.c
MenuExtended_AwardPinkSlipsCar__FR12tMenuCommand	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8002DF34	173	frontend/common/femenudefs	regiondiff/recon/NFS4-R-USA/frontend/common/femenudefs.cpp
MenuExtended_LoadGame__FR12tMenuCommand	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8002D950	54	frontend/common/femenudefs	regiondiff/recon/NFS4-R-USA/frontend/common/femenudefs.cpp
MenuNFS4_DrawTextBox__FiR4RECTissbT5	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	8001A180	302	frontend/common/femenuextended	regiondiff/recon/NFS4-R-AU/frontend/common/femenuextended.cpp
MenuNFS4_DrawTextBox__FiR4RECTissbT5	CHANGED	JPN+USA	USA	8001A158	301	frontend/common/femenuextended	regiondiff/recon/NFS4-R-USA/frontend/common/femenuextended.cpp
Movie_Play__Fc	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	8004D1CC	136	frontend/psx/movie	regiondiff/recon/NFS4-R-AU/frontend/psx/movie.cpp
