module                             config            PASS      of   DIFFS   CNTEX
syslib/psx/libmath/TRUDFSF2        nosched2             0       1     109       0
syslib/psx/libmath/TRUDFSF2        G0                   0       1     109       0
syslib/psx/libmath/TRUDFSF2        G8                   0       1     109       0
syslib/psx/libmath/TRUDFSF2        nosplit              0       1     109       0
syslib/psx/libmcrd/BIOS            BASE                13      17      48      15
syslib/psx/libmcrd/BIOS            O1                  11      17     169      12
syslib/psx/libmcrd/BIOS            nodelay              2      17      92       3
syslib/psx/libmcrd/BIOS            nosched1            11      17     132      11
syslib/psx/libmcrd/BIOS            nosched2            11      17      51      12
syslib/psx/libmcrd/BIOS            G0                   2      17     367      13
syslib/psx/libmcrd/BIOS            G8                  13      17      48      15
syslib/psx/libmcrd/BIOS            nosplit             13      17      20      15
syslib/psx/libmcrd/LIBMCRD         BASE                 2      26    1385       8
syslib/psx/libmcrd/LIBMCRD         O1                   2      26    1594       4
syslib/psx/libmcrd/LIBMCRD         nodelay              1      26    1722       1
syslib/psx/libmcrd/LIBMCRD         nosched1             2      26    1480       5
syslib/psx/libmcrd/LIBMCRD         nosched2             2      26    1413       7
syslib/psx/libmcrd/LIBMCRD         G0                   2      26    1392       8
syslib/psx/libmcrd/LIBMCRD         G8                   2      26    1385       8
syslib/psx/libmcrd/LIBMCRD         nosplit              2      26    1329       5
syslib/psx/libmcrd/USERFUNC        BASE                 1       4      59       1
syslib/psx/libmcrd/USERFUNC        O1                   1       4      65       1
syslib/psx/libmcrd/USERFUNC        nodelay              0       4      65       0
syslib/psx/libmcrd/USERFUNC        nosched1             1       4      55       1
syslib/psx/libmcrd/USERFUNC        nosched2             1       4      67       1
syslib/psx/libmcrd/USERFUNC        G0                   1       4      77       3
syslib/psx/libmcrd/USERFUNC        G8                   1       4      59       1
syslib/psx/libmcrd/USERFUNC        nosplit              1       4      14       2
syslib/psx/libpad/MCXMAIN          BASE                 0       5     320       2
syslib/psx/libpad/MCXMAIN          O1                   0       5     384       1
syslib/psx/libpad/MCXMAIN          nodelay              0       5     431       0
syslib/psx/libpad/MCXMAIN          nosched1             0       5     364       2
syslib/psx/libpad/MCXMAIN          nosched2             0       5     353       1
syslib/psx/libpad/MCXMAIN          G0                   0       5     437       2
syslib/psx/libpad/MCXMAIN          G8                   0       5     324       2
syslib/psx/libpad/MCXMAIN          nosplit              0       5     322       2
syslib/psx/libpad/PAD              BASE                 0       0       0       0
syslib/psx/libpad/PAD              O1                   0       0       0       0
syslib/psx/libpad/PAD              nodelay              0       0       0       0
syslib/psx/libpad/PAD              nosched1             0       0       0       0
syslib/psx/libpad/PAD              nosched2             0       0       0       0
syslib/psx/libpad/PAD              G0                   0       0       0       0
syslib/psx/libpad/PAD              G8                   0       0       0       0
syslib/psx/libpad/PAD              nosplit              0       0       0       0
syslib/psx/libpad/PADCMD           BASE                 9      19     450      10
syslib/psx/libpad/PADCMD           O1                   8      19     582       9
syslib/psx/libpad/PADCMD           nodelay              0      19     576       0
syslib/psx/libpad/PADCMD           nosched1             8      19     567      10
syslib/psx/libpad/PADCMD           nosched2             3      19     505       8
syslib/psx/libpad/PADCMD           G0                   9      19     466      10
syslib/psx/libpad/PADCMD           G8                   9      19     450      10
syslib/psx/libpad/PADCMD           nosplit              9      19     430      10
syslib/psx/libpad/PADENTRY         BASE                 5       8      72       6
syslib/psx/libpad/PADENTRY         O1                   2       8     130       2
syslib/psx/libpad/PADENTRY         nodelay              2       8     125       2
